Region,Month of Period,MedianSalePrice,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Chicago, IL",2012/02,130000,-7.10%,-3.70%,1499,-19.30%,5.30%,3598,23.10%,7.70%,15258,3.80%,-18.80%,119,10,17,95.10%,-0.20%,-0.20%
"Chicago, IL",2012/03,148000,13.50%,5.40%,1975,31.80%,-0.90%,4099,13.90%,-13.10%,15603,2.30%,-19.30%,122,3,13,95.30%,0.30%,-0.90%
"Chicago, IL",2012/04,170000,15.10%,9.50%,1960,-0.80%,6.20%,3806,-7.10%,-2.00%,15746,0.90%,-18.70%,112,-10,-6,95.30%,0.00%,-0.30%
"Chicago, IL",2012/05,178000,4.70%,13.90%,2392,22.00%,12.10%,3864,1.50%,2.30%,15698,-0.30%,-19.00%,92,-20,-12,95.80%,0.50%,-0.30%
"Chicago, IL",2012/06,200000,12.70%,6.90%,2696,12.70%,18.50%,3488,-9.70%,-5.40%,15239,-2.90%,-19.80%,91,-1,-9,96.40%,0.70%,0.70%
"Chicago, IL",2012/07,184000,-8.20%,-1.70%,2559,-5.10%,29.60%,3464,-0.70%,3.20%,15029,-1.40%,-19.30%,87,-4,-16,96.30%,-0.10%,1.00%
"Chicago, IL",2012/08,191000,3.80%,6.10%,2813,9.90%,21.80%,3379,-2.50%,-4.40%,14470,-3.70%,-20.50%,89,2,-15,96.50%,0.20%,1.30%
"Chicago, IL",2012/09,185000,-3.10%,6.60%,2314,-17.70%,17.90%,3157,-6.60%,2.50%,14186,-2.00%,-19.10%,91,2,-11,96.70%,0.10%,1.90%
"Chicago, IL",2012/10,165000,-10.80%,1.20%,2570,11.10%,54.10%,3158,0.00%,8.60%,13692,-3.50%,-19.50%,87,-4,-21,96.30%,-0.30%,1.20%
"Chicago, IL",2012/11,170000,3.00%,15.10%,2132,-17.00%,35.50%,2339,-25.90%,-9.30%,12690,-7.30%,-21.80%,89,2,-18,96.80%,0.50%,1.80%
"Chicago, IL",2012/12,169000,-0.60%,12.70%,2329,9.20%,21.00%,1805,-22.80%,-9.90%,11403,-10.10%,-22.90%,98,9,-17,95.70%,-1.00%,0.90%
"Chicago, IL",2013/01,155000,-8.00%,11.00%,2149,-7.70%,15.70%,3227,78.80%,10.40%,11675,2.40%,-20.50%,97,-1,-12,96.30%,0.50%,0.90%
"Chicago, IL",2013/02,150000,-3.50%,15.40%,1781,-17.10%,18.80%,3455,7.10%,-4.00%,12103,3.70%,-20.70%,105,8,-14,97.00%,0.70%,1.90%
"Chicago, IL",2013/03,170000,13.30%,15.30%,1979,11.10%,0.20%,3807,10.20%,-7.10%,12339,1.90%,-20.90%,95,-10,-27,97.20%,0.20%,1.90%
"Chicago, IL",2013/04,185000,8.80%,9.00%,2579,30.30%,31.60%,4522,18.80%,18.80%,12868,4.30%,-18.30%,78,-17,-34,97.70%,0.50%,2.40%
"Chicago, IL",2013/05,210000,13.50%,18.10%,2954,14.50%,23.50%,4376,-3.20%,13.30%,13000,1.00%,-17.20%,68,-10,-24,98.50%,0.90%,2.80%
"Chicago, IL",2013/06,240000,14.30%,19.80%,2912,-1.40%,8.00%,4096,-6.40%,17.40%,13012,0.10%,-14.60%,68,0,-23,98.20%,-0.40%,1.80%
"Chicago, IL",2013/07,233000,-2.90%,26.60%,3593,23.40%,40.40%,4199,2.50%,21.20%,13047,0.30%,-13.20%,66,-2,-21,98.80%,0.60%,2.50%
"Chicago, IL",2013/08,230000,-1.50%,20.20%,3392,-5.60%,20.60%,3898,-7.20%,15.40%,12721,-2.50%,-12.10%,65,-1,-24,98.70%,-0.10%,2.20%
"Chicago, IL",2013/09,223000,-2.70%,20.70%,2660,-21.60%,15.00%,3700,-5.10%,17.20%,12812,0.70%,-9.70%,66,1,-25,98.60%,-0.20%,1.90%
"Chicago, IL",2013/10,220000,-1.50%,33.30%,3457,30.00%,34.50%,3392,-8.30%,7.40%,12512,-2.30%,-8.60%,66,0,-21,98.20%,-0.40%,1.90%
"Chicago, IL",2013/11,190000,-13.60%,11.80%,2249,-34.90%,5.50%,2323,-31.50%,-0.70%,10952,-12.50%,-13.70%,72,6,-17,97.90%,-0.30%,1.10%
"Chicago, IL",2013/12,201000,5.50%,18.60%,2496,11.00%,7.20%,1990,-14.30%,10.20%,9828,-10.30%,-13.80%,67,-5,-31,98.50%,0.60%,2.80%
"Chicago, IL",2014/01,185000,-7.70%,19.00%,2134,-14.50%,-0.70%,2766,39.00%,-14.30%,9829,0.00%,-15.80%,75,8,-22,97.90%,-0.60%,1.70%
"Chicago, IL",2014/02,180000,-2.70%,20.00%,1791,-16.10%,0.60%,3401,23.00%,-1.60%,10455,6.40%,-13.60%,80,5,-25,97.40%,-0.50%,0.50%
"Chicago, IL",2014/03,204000,13.10%,19.70%,1916,7.00%,-3.20%,4145,21.90%,8.90%,11089,6.10%,-10.10%,74,-6,-21,97.80%,0.30%,0.60%
"Chicago, IL",2014/04,215000,5.70%,16.20%,2932,53.00%,13.70%,4847,16.90%,7.20%,12046,8.60%,-6.40%,64,-10,-14,98.00%,0.20%,0.40%
"Chicago, IL",2014/05,250000,16.30%,19.00%,2856,-2.60%,-3.30%,4644,-4.20%,6.10%,12512,3.90%,-3.80%,57,-7,-11,98.50%,0.50%,0.00%
"Chicago, IL",2014/06,263000,5.00%,9.40%,2820,-1.30%,-3.20%,4462,-3.90%,8.90%,13106,4.70%,0.70%,55,-2,-13,98.50%,-0.10%,0.30%
"Chicago, IL",2014/07,250000,-4.80%,7.30%,2981,5.70%,-17.00%,4316,-3.30%,2.80%,13601,3.80%,4.20%,51,-4,-15,99.00%,0.50%,0.20%
"Chicago, IL",2014/08,260000,4.00%,13.30%,3454,15.90%,1.80%,3643,-15.60%,-6.50%,13361,-1.80%,5.00%,57,6,-8,97.70%,-1.30%,-1.10%
"Chicago, IL",2014/09,250000,-3.80%,12.00%,2291,-33.70%,-13.90%,3876,6.40%,4.80%,13556,1.50%,5.80%,61,4,-5,97.70%,0.10%,-0.80%
"Chicago, IL",2014/10,230000,-8.00%,4.60%,3091,34.90%,-10.60%,3396,-12.40%,0.10%,13170,-2.80%,5.30%,62,1,-4,97.50%,-0.20%,-0.70%
"Chicago, IL",2014/11,220000,-4.40%,15.80%,1994,-35.50%,-11.30%,2356,-30.60%,1.40%,12288,-6.70%,12.20%,70,8,-2,97.40%,-0.10%,-0.50%
"Chicago, IL",2014/12,220000,0.00%,9.70%,2599,30.30%,4.10%,1863,-20.90%,-6.40%,10723,-12.70%,9.10%,73,3,6,97.10%,-0.30%,-1.40%
"Chicago, IL",2015/01,212000,-3.60%,14.60%,1805,-30.60%,-15.40%,2909,56.10%,5.20%,10794,0.70%,9.80%,85,12,10,96.90%,-0.20%,-1.10%
"Chicago, IL",2015/02,200000,-5.70%,11.10%,1754,-2.80%,-2.10%,3523,21.10%,3.60%,11387,5.50%,8.90%,90,5,10,96.70%,-0.10%,-0.70%
"Chicago, IL",2015/03,226000,13.00%,11.10%,2405,37.10%,25.50%,4824,36.90%,16.40%,12206,7.20%,10.10%,82,-8,8,97.20%,0.50%,-0.60%
"Chicago, IL",2015/04,255000,12.80%,18.60%,2804,16.60%,-4.40%,4996,3.60%,3.10%,13052,6.90%,8.40%,68,-14,4,97.70%,0.50%,-0.30%
"Chicago, IL",2015/05,268000,5.10%,7.20%,3238,15.50%,13.40%,4665,-6.60%,0.50%,13595,4.20%,8.70%,58,-10,1,98.20%,0.50%,-0.30%
"Chicago, IL",2015/06,275000,2.60%,4.80%,4083,26.10%,44.80%,4641,-0.50%,4.00%,13753,1.20%,4.90%,57,-1,2,98.30%,0.10%,-0.20%
"Chicago, IL",2015/07,275000,0.00%,10.00%,3918,-4.00%,31.40%,4272,-8.00%,-1.00%,13724,-0.20%,0.90%,62,5,11,98.00%,-0.30%,-1.00%
"Chicago, IL",2015/08,266000,-3.30%,2.30%,3019,-22.90%,-12.60%,3824,-10.50%,5.00%,13387,-2.50%,0.20%,64,2,7,97.90%,0.00%,0.30%
"Chicago, IL",2015/09,250000,-6.10%,0.00%,1948,-35.50%,-15.00%,3696,-3.30%,-4.60%,13185,-1.50%,-2.70%,65,1,4,98.20%,0.30%,0.50%
"Chicago, IL",2015/10,236000,-5.60%,2.60%,2997,53.90%,-3.00%,3180,-14.00%,-6.40%,12610,-4.40%,-4.30%,68,3,6,97.60%,-0.60%,0.10%
"Chicago, IL",2015/11,225000,-4.70%,2.30%,2203,-26.50%,10.50%,2367,-25.60%,0.50%,11619,-7.90%,-5.40%,70,2,0,97.40%,-0.10%,0.10%
"Chicago, IL",2015/12,239000,6.00%,8.40%,2462,11.80%,-5.30%,1762,-25.60%,-5.40%,9959,-14.30%,-7.10%,73,3,0,96.90%,-0.50%,-0.20%
"Chicago, IL",2016/01,215000,-9.90%,1.40%,2107,-14.40%,16.70%,2894,64.20%,-0.50%,10090,1.30%,-6.50%,85,12,0,96.80%,-0.10%,0.00%
"Chicago, IL",2016/02,225000,4.70%,12.50%,1885,-10.50%,7.50%,4133,42.80%,17.30%,10977,8.80%,-3.60%,84,-1,-6,97.10%,0.30%,0.40%
"Chicago, IL",2016/03,248000,10.00%,9.50%,2377,26.10%,-1.20%,4828,16.80%,0.10%,11765,7.20%,-3.60%,81,-3,-1,98.00%,0.90%,0.80%
"Chicago, IL",2016/04,268000,8.30%,5.10%,2933,23.40%,4.60%,4815,-0.30%,-3.60%,12298,4.50%,-5.80%,60,-21,-8,98.60%,0.60%,0.90%
"Chicago, IL",2016/05,286000,6.70%,6.70%,3219,9.80%,-0.60%,4777,-0.80%,2.40%,12735,3.60%,-6.30%,56,-4,-2,98.30%,-0.20%,0.10%
"Chicago, IL",2016/06,280000,-2.10%,1.80%,3669,14.00%,-10.10%,4669,-2.30%,0.60%,13013,2.20%,-5.40%,54,-2,-3,98.70%,0.40%,0.50%
"Chicago, IL",2016/07,288000,2.70%,4.50%,3348,-8.70%,-14.50%,4096,-12.30%,-4.10%,13077,0.50%,-4.70%,56,2,-6,98.60%,-0.10%,0.70%
"Chicago, IL",2016/08,270000,-6.10%,1.50%,3586,7.10%,18.80%,3903,-4.70%,2.10%,12718,-2.70%,-5.00%,61,5,-3,98.30%,-0.40%,0.30%
"Chicago, IL",2016/09,255000,-5.60%,2.00%,2958,-17.50%,51.80%,3849,-1.40%,4.10%,12902,1.40%,-2.10%,63,2,-2,98.10%,-0.20%,-0.10%
"Chicago, IL",2016/10,255000,0.00%,8.10%,2620,-11.40%,-12.60%,3129,-18.70%,-1.60%,12438,-3.60%,-1.40%,66,3,-2,97.90%,-0.20%,0.40%
"Chicago, IL",2016/11,250000,-2.00%,11.10%,2424,-7.50%,10.00%,2443,-21.90%,3.20%,11422,-8.20%,-1.70%,65,-1,-5,97.60%,-0.30%,0.10%
"Chicago, IL",2016/12,255000,2.00%,6.90%,2369,-2.30%,-3.80%,1677,-31.40%,-4.80%,9635,-15.60%,-3.30%,72,7,-1,97.30%,-0.30%,0.40%
"Chicago, IL",2017/01,242000,-5.00%,12.70%,2236,-5.60%,6.10%,3233,92.80%,11.70%,9981,3.60%,-1.10%,79,7,-6,97.20%,-0.10%,0.40%
"Chicago, IL",2017/02,235000,-3.00%,4.40%,1845,-17.50%,-2.10%,4094,26.60%,-0.90%,11096,11.20%,1.10%,88,9,4,97.50%,0.30%,0.40%
"Chicago, IL",2017/03,275000,17.00%,11.10%,2899,57.10%,22.00%,5000,22.10%,3.60%,11820,6.50%,0.50%,68,-20,-13,98.00%,0.50%,0.00%
"Chicago, IL",2017/04,289000,5.10%,7.80%,2922,0.80%,-0.40%,4488,-10.20%,-6.80%,12246,3.60%,-0.40%,57,-11,-3,98.30%,0.30%,-0.30%
"Chicago, IL",2017/05,296000,2.30%,3.40%,3542,21.20%,10.00%,4869,8.50%,1.90%,12674,3.50%,-0.50%,52,-5,-4,98.90%,0.60%,0.50%
"Chicago, IL",2017/06,298000,0.70%,6.30%,3920,10.70%,6.80%,4614,-5.20%,-1.20%,12627,-0.40%,-3.00%,53,1,-1,98.60%,-0.30%,-0.20%
"Chicago, IL",2017/07,294000,-1.20%,2.30%,3190,-18.60%,-4.70%,3967,-14.00%,-3.10%,12722,0.80%,-2.70%,55,2,-1,98.40%,-0.10%,-0.20%
"Chicago, IL",2017/08,280000,-4.80%,3.70%,3482,9.20%,-2.90%,4034,1.70%,3.40%,12608,-0.90%,-0.90%,56,1,-5,98.10%,-0.30%,-0.10%
"Chicago, IL",2017/09,264000,-5.70%,3.50%,2738,-21.40%,-7.40%,3738,-7.30%,-2.90%,12762,1.20%,-1.10%,60,4,-3,97.70%,-0.50%,-0.40%
"Chicago, IL",2017/10,260000,-1.50%,2.00%,2761,0.80%,5.40%,3298,-11.80%,5.40%,12295,-3.70%,-1.10%,64,4,-2,97.20%,-0.40%,-0.70%
"Chicago, IL",2017/11,255000,-1.90%,2.00%,2411,-12.70%,-0.50%,2297,-30.40%,-6.00%,11029,-10.30%,-3.40%,65,1,0,97.60%,0.30%,0.00%
"Chicago, IL",2017/12,262000,2.70%,2.70%,2517,4.40%,6.20%,1635,-28.80%,-2.50%,9249,-16.10%,-4.00%,73,8,1,97.30%,-0.20%,0.00%
"Chicago, IL",2018/01,245000,-6.50%,1.10%,2027,-19.50%,-9.30%,3107,90.00%,-3.90%,9456,2.20%,-5.30%,83,10,4,97.30%,0.00%,0.10%
"Chicago, IL",2018/02,260000,6.10%,10.60%,1745,-13.90%,-5.40%,3770,21.30%,-7.90%,10343,9.40%,-6.80%,88,5,0,97.50%,0.20%,0.00%
"Chicago, IL",2018/03,295000,13.30%,7.10%,2598,48.90%,-10.40%,4788,27.00%,-4.20%,11152,7.80%,-5.70%,75,-13,7,97.80%,0.20%,-0.20%
"Chicago, IL",2018/04,295000,0.20%,2.10%,3025,16.40%,3.50%,4868,1.70%,8.50%,11847,6.20%,-3.30%,55,-20,-2,98.30%,0.60%,0.10%
"Chicago, IL",2018/05,299000,1.40%,1.10%,3451,14.10%,-2.60%,4994,2.60%,2.60%,12445,5.00%,-1.80%,53,-2,1,98.40%,0.00%,-0.50%
"Chicago, IL",2018/06,300000,0.30%,0.80%,3644,5.60%,-7.00%,4298,-13.90%,-6.80%,12534,0.70%,-0.70%,53,0,0,98.60%,0.20%,0.00%
"Chicago, IL",2018/07,300000,-0.10%,1.90%,3394,-6.90%,6.40%,4200,-2.30%,5.90%,12745,1.70%,0.20%,56,3,1,98.30%,-0.30%,-0.10%
"Chicago, IL",2018/08,282000,-5.90%,0.70%,3173,-6.50%,-8.90%,3880,-7.60%,-3.80%,12584,-1.30%,-0.20%,57,1,1,97.90%,-0.40%,-0.20%
"Chicago, IL",2018/09,270000,-4.30%,2.20%,3203,0.90%,17.00%,3886,0.20%,4.00%,13026,3.50%,2.10%,60,3,0,97.70%,-0.20%,0.10%
"Chicago, IL",2018/10,270000,0.00%,3.80%,2517,-21.40%,-8.80%,3522,-9.40%,6.80%,12492,-4.10%,1.60%,67,7,3,97.70%,0.00%,0.50%
"Chicago, IL",2018/11,258000,-4.60%,1.00%,2238,-11.10%,-7.20%,2272,-35.50%,-1.10%,11228,-10.10%,1.80%,68,1,3,97.50%,-0.20%,-0.10%
"Chicago, IL",2018/12,250000,-2.90%,-4.60%,2073,-7.40%,-17.60%,1569,-30.90%,-4.00%,9598,-14.50%,3.80%,77,9,4,97.50%,0.00%,0.10%
"Chicago, IL",2019/01,250000,0.00%,2.00%,1634,-21.20%,-19.40%,2904,85.10%,-6.50%,9572,-0.30%,1.20%,89,12,6,97.00%,-0.40%,-0.30%
"Chicago, IL",2019/02,265000,6.00%,1.90%,1687,3.20%,-3.30%,3711,27.80%,-1.60%,10384,8.50%,0.40%,93,4,5,97.60%,0.50%,0.00%
Albany Park,2012/02,122000,-20.80%,-12.40%,78,5.40%,36.80%,102,1.00%,-13.60%,205,-1.00%,-12.80%,102,6,6,94.40%,-0.40%,0.60%
Albany Park,2012/03,129000,6.00%,7.50%,73,-6.40%,23.70%,119,16.70%,-13.10%,196,-4.40%,-15.50%,136,34,40,94.90%,0.50%,-1.90%
Albany Park,2012/04,131000,1.20%,-14.10%,82,12.30%,39.00%,146,22.70%,1.40%,203,3.60%,-12.50%,149,14,41,93.70%,-1.20%,-1.20%
Albany Park,2012/05,141000,7.70%,-7.00%,83,1.20%,15.30%,149,2.10%,-2.00%,196,-3.40%,-15.50%,135,-14,-10,94.70%,1.00%,-0.40%
Albany Park,2012/06,165000,17.40%,1.50%,97,16.90%,31.10%,144,-3.40%,-3.40%,184,-6.10%,-23.00%,92,-43,-43,95.40%,0.80%,-0.30%
Albany Park,2012/07,152000,-7.90%,-1.90%,99,2.10%,28.60%,124,-13.90%,-13.90%,180,-2.20%,-26.80%,85,-7,-28,96.40%,1.00%,-1.60%
Albany Park,2012/08,152000,0.00%,-3.50%,103,4.00%,21.20%,131,5.60%,-12.10%,182,1.10%,-26.00%,91,6,-2,95.70%,-0.80%,-3.60%
Albany Park,2012/09,162000,6.60%,-2.40%,93,-9.70%,19.20%,127,-3.10%,-4.50%,181,-0.50%,-26.70%,96,5,33,96.90%,1.20%,-1.60%
Albany Park,2012/10,164000,1.20%,9.30%,92,-1.10%,21.10%,122,-3.90%,-6.90%,170,-6.10%,-29.20%,91,-6,7,97.30%,0.40%,0.70%
Albany Park,2012/11,158000,-3.70%,5.30%,103,12.00%,71.70%,103,-15.60%,-15.60%,162,-4.70%,-31.10%,98,8,20,96.20%,-1.00%,1.10%
Albany Park,2012/12,140000,-11.10%,0.40%,94,-8.70%,30.60%,91,-11.70%,-21.60%,142,-12.30%,-34.00%,97,-1,-17,96.20%,0.00%,2.40%
Albany Park,2013/01,150000,6.40%,-2.80%,91,-3.20%,23.00%,84,-7.70%,-16.80%,136,-4.20%,-34.30%,109,12,13,97.10%,0.90%,2.20%
Albany Park,2013/02,155000,3.50%,27.10%,74,-18.70%,-5.10%,84,0.00%,-17.60%,132,-2.90%,-35.60%,112,3,10,100.10%,3.00%,5.60%
Albany Park,2013/03,167000,7.90%,29.50%,73,-1.40%,0.00%,104,23.80%,-12.60%,145,9.80%,-26.00%,122,10,-14,99.20%,-0.80%,4.30%
Albany Park,2013/04,180000,7.80%,37.90%,75,2.70%,-8.50%,123,18.30%,-15.80%,151,4.10%,-25.60%,102,-20,-47,98.90%,-0.30%,5.20%
Albany Park,2013/05,205000,13.90%,45.90%,81,8.00%,-2.40%,151,22.80%,1.30%,158,4.60%,-19.40%,84,-18,-51,98.80%,-0.10%,4.10%
Albany Park,2013/06,225000,9.80%,36.40%,94,16.00%,-3.10%,146,-3.30%,1.40%,150,-5.10%,-18.50%,76,-8,-16,98.90%,0.20%,3.50%
Albany Park,2013/07,224000,-0.40%,47.40%,102,8.50%,3.00%,152,4.10%,22.60%,163,8.70%,-9.40%,69,-7,-16,99.30%,0.40%,2.90%
Albany Park,2013/08,200000,-10.70%,31.60%,113,10.80%,9.70%,135,-11.20%,3.10%,164,0.60%,-9.90%,67,-2,-24,101.00%,1.70%,5.30%
Albany Park,2013/09,175000,-12.50%,8.00%,109,-3.50%,17.20%,139,3.00%,9.40%,157,-4.30%,-13.30%,69,2,-28,101.20%,0.20%,4.40%
Albany Park,2013/10,187000,6.60%,13.70%,110,0.90%,19.60%,123,-11.50%,0.80%,138,-12.10%,-18.80%,69,1,-22,101.10%,-0.10%,3.90%
Albany Park,2013/11,188000,0.80%,19.00%,93,-15.50%,-9.70%,105,-14.60%,1.90%,118,-14.50%,-27.20%,71,2,-27,100.10%,-1.00%,3.90%
Albany Park,2013/12,188000,0.00%,33.90%,103,10.80%,9.60%,84,-20.00%,-7.70%,103,-12.70%,-27.50%,65,-7,-33,99.80%,-0.30%,3.60%
Albany Park,2014/01,174000,-7.70%,16.10%,84,-18.40%,-7.70%,63,-25.00%,-25.00%,87,-15.50%,-36.00%,70,5,-40,99.60%,-0.20%,2.50%
Albany Park,2014/02,187000,7.50%,20.50%,84,0.00%,13.50%,68,7.90%,-19.00%,84,-3.40%,-36.40%,76,7,-36,98.70%,-0.90%,-1.40%
Albany Park,2014/03,219000,17.40%,31.10%,66,-21.40%,-9.60%,92,35.30%,-11.50%,99,17.90%,-31.70%,81,5,-41,99.50%,0.80%,0.30%
Albany Park,2014/04,215000,-1.80%,19.40%,80,21.20%,6.70%,118,28.30%,-4.10%,104,5.10%,-31.10%,95,14,-7,99.10%,-0.30%,0.30%
Albany Park,2014/05,215000,-0.20%,4.60%,83,3.80%,2.50%,159,34.70%,5.30%,133,27.90%,-15.80%,71,-24,-13,100.00%,0.90%,1.30%
Albany Park,2014/06,208000,-3.00%,-7.60%,88,6.00%,-6.40%,169,6.30%,15.80%,148,11.30%,-1.30%,68,-3,-8,100.20%,0.10%,1.20%
Albany Park,2014/07,225000,8.20%,0.40%,83,-5.70%,-18.60%,185,9.50%,21.70%,149,0.70%,-8.60%,48,-20,-21,100.70%,0.50%,1.40%
Albany Park,2014/08,217000,-3.40%,8.70%,98,18.10%,-13.30%,179,-3.20%,32.60%,170,14.10%,3.70%,55,7,-12,98.50%,-2.20%,-2.50%
Albany Park,2014/09,224000,2.80%,27.70%,100,2.00%,-8.30%,169,-5.60%,21.60%,178,4.70%,13.40%,55,0,-14,96.90%,-1.60%,-4.30%
Albany Park,2014/10,237000,6.00%,27.10%,113,13.00%,2.70%,150,-11.20%,22.00%,163,-8.40%,18.10%,60,5,-10,96.80%,-0.10%,-4.40%
Albany Park,2014/11,238000,0.20%,26.30%,93,-17.70%,0.00%,108,-28.00%,2.90%,149,-8.60%,26.30%,60,1,-11,98.20%,1.40%,-1.90%
Albany Park,2014/12,223000,-6.10%,18.60%,98,5.40%,-4.90%,86,-20.40%,2.40%,129,-13.40%,25.20%,76,16,12,98.40%,0.20%,-1.40%
Albany Park,2015/01,203000,-9.00%,17.00%,81,-17.30%,-3.60%,81,-5.80%,28.60%,135,4.70%,55.20%,83,7,14,98.50%,0.10%,-1.10%
Albany Park,2015/02,208000,2.60%,11.70%,80,-1.20%,-4.80%,101,24.70%,48.50%,131,-3.00%,56.00%,99,16,23,96.60%,-1.90%,-2.10%
Albany Park,2015/03,230000,10.60%,5.10%,80,0.00%,21.20%,145,43.60%,57.60%,150,14.50%,51.50%,93,-6,12,96.80%,0.30%,-2.60%
Albany Park,2015/04,247000,7.30%,14.90%,80,0.00%,0.00%,174,20.00%,47.50%,169,12.70%,62.50%,93,0,-2,95.30%,-1.50%,-3.80%
Albany Park,2015/05,250000,1.20%,16.60%,100,25.00%,20.50%,221,27.00%,39.00%,196,16.00%,47.40%,75,-18,4,97.50%,2.20%,-2.50%
Albany Park,2015/06,263000,5.10%,26.30%,122,22.00%,38.60%,208,-5.90%,23.10%,192,-2.00%,29.70%,62,-13,-6,97.60%,0.10%,-2.60%
Albany Park,2015/07,255000,-2.90%,13.30%,137,12.30%,65.10%,198,-4.80%,7.00%,193,0.50%,29.50%,58,-4,10,98.10%,0.50%,-2.60%
Albany Park,2015/08,271000,6.30%,24.70%,135,-1.50%,37.80%,151,-23.70%,-15.60%,177,-8.30%,4.10%,65,7,10,97.20%,-0.90%,-1.30%
Albany Park,2015/09,265000,-2.20%,18.60%,101,-25.20%,1.00%,149,-1.30%,-11.80%,177,0.00%,-0.60%,66,1,11,96.90%,-0.30%,0.00%
Albany Park,2015/10,250000,-5.70%,5.50%,97,-4.00%,-14.20%,132,-11.40%,-12.00%,169,-4.50%,3.70%,74,8,15,97.30%,0.40%,0.50%
Albany Park,2015/11,260000,4.00%,9.50%,89,-8.20%,-4.30%,113,-14.40%,4.60%,135,-20.10%,-9.40%,66,-8,6,97.20%,0.00%,-1.00%
Albany Park,2015/12,254000,-2.50%,13.70%,106,19.10%,8.20%,73,-35.40%,-15.10%,109,-19.30%,-15.50%,90,24,14,98.20%,0.90%,-0.20%
Albany Park,2016/01,260000,2.40%,27.80%,104,-1.90%,28.40%,70,-4.10%,-13.60%,106,-2.80%,-21.50%,107,17,24,98.00%,-0.20%,-0.50%
Albany Park,2016/02,235000,-9.40%,12.80%,98,-5.80%,22.50%,101,44.30%,0.00%,123,16.00%,-6.10%,112,6,14,97.10%,-0.80%,0.50%
Albany Park,2016/03,255000,8.50%,10.70%,97,-1.00%,21.30%,151,49.50%,4.10%,142,15.40%,-5.30%,101,-11,8,96.30%,-0.80%,-0.50%
Albany Park,2016/04,260000,1.80%,5.10%,100,3.10%,25.00%,176,16.60%,1.10%,146,2.80%,-13.60%,93,-8,0,96.80%,0.50%,1.50%
Albany Park,2016/05,270000,4.00%,7.90%,108,8.00%,8.00%,193,9.70%,-12.70%,161,10.30%,-17.90%,70,-23,-5,98.00%,1.20%,0.50%
Albany Park,2016/06,249000,-7.90%,-5.40%,114,5.60%,-6.60%,199,3.10%,-4.30%,179,11.20%,-6.80%,67,-3,5,98.30%,0.30%,0.70%
Albany Park,2016/07,250000,0.60%,-2.00%,116,1.80%,-15.30%,196,-1.50%,-1.00%,184,2.80%,-4.70%,64,-3,6,98.30%,0.10%,0.30%
Albany Park,2016/08,255000,1.80%,-6.10%,147,26.70%,8.90%,165,-15.80%,9.30%,155,-15.80%,-12.40%,65,1,0,97.90%,-0.50%,0.70%
Albany Park,2016/09,260000,2.20%,-1.90%,151,2.70%,49.50%,140,-15.20%,-6.00%,146,-5.80%,-17.50%,65,0,-1,97.60%,-0.30%,0.70%
Albany Park,2016/10,255000,-1.90%,2.00%,145,-4.00%,49.50%,128,-8.60%,-3.00%,150,2.70%,-11.20%,70,5,-4,97.30%,-0.30%,0.10%
Albany Park,2016/11,252000,-1.30%,-3.20%,120,-17.20%,34.80%,119,-7.00%,5.30%,131,-12.70%,-3.00%,71,1,5,97.30%,0.00%,0.10%
Albany Park,2016/12,252000,0.30%,-0.50%,106,-11.70%,0.00%,87,-26.90%,19.20%,113,-13.70%,3.70%,69,-2,-21,97.30%,-0.10%,-0.90%
Albany Park,2017/01,260000,3.00%,0.20%,87,-17.90%,-16.30%,73,-16.10%,4.30%,121,7.10%,14.20%,82,13,-25,97.40%,0.10%,-0.60%
Albany Park,2017/02,258000,-0.80%,9.80%,70,-19.50%,-28.60%,90,23.30%,-10.90%,125,3.30%,1.60%,96,15,-16,96.50%,-0.90%,-0.60%
Albany Park,2017/03,256000,-1.00%,0.20%,77,10.00%,-20.60%,134,48.90%,-11.30%,139,11.20%,-2.10%,103,7,2,96.80%,0.30%,0.50%
Albany Park,2017/04,256000,0.20%,-1.30%,95,23.40%,-5.00%,162,20.90%,-8.00%,144,3.60%,-1.40%,76,-27,-17,97.10%,0.40%,0.40%
Albany Park,2017/05,285000,11.30%,5.60%,115,21.10%,6.50%,165,1.90%,-14.50%,126,-12.50%,-21.70%,69,-7,-1,98.30%,1.20%,0.30%
Albany Park,2017/06,285000,0.00%,14.70%,125,8.70%,9.60%,167,1.20%,-16.10%,126,0.00%,-29.60%,51,-18,-16,98.40%,0.10%,0.20%
Albany Park,2017/07,293000,2.60%,17.00%,136,8.80%,17.20%,148,-11.40%,-24.50%,129,2.40%,-29.90%,49,-2,-15,98.70%,0.20%,0.30%
Albany Park,2017/08,278000,-5.00%,9.20%,143,5.10%,-2.70%,149,0.70%,-9.70%,133,3.10%,-14.20%,46,-4,-20,98.20%,-0.50%,0.30%
Albany Park,2017/09,295000,5.90%,13.30%,120,-16.10%,-20.50%,126,-15.40%,-10.00%,137,3.00%,-6.20%,49,3,-17,98.30%,0.00%,0.60%
